Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.61,symmetric,0.3386574934898373
100% Corpus,4,0.9099999999999999,0.01,0.34029736009282885
100% Corpus,4,0.9099999999999999,0.31,0.3402924771112603
100% Corpus,4,0.9099999999999999,0.61,0.34075871857721085
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.33252175748874085
100% Corpus,4,0.9099999999999999,symmetric,0.338913233586387
100% Corpus,4,symmetric,0.01,0.33570286141565353
100% Corpus,4,symmetric,0.31,0.3267910640415635
100% Corpus,4,symmetric,0.61,0.3383065428423423
100% Corpus,4,symmetric,0.9099999999999999,0.3376068807232195
100% Corpus,4,symmetric,symmetric,0.33917728384791324
100% Corpus,4,asymmetric,0.01,0.33808339846655566
100% Corpus,4,asymmetric,0.31,0.3337143760209221
100% Corpus,4,asymmetric,0.61,0.3352201824473776
100% Corpus,4,asymmetric,0.9099999999999999,0.33159582000305676
100% Corpus,4,asymmetric,symmetric,0.3246923912212809
100% Corpus,5,0.01,0.01,0.3344307004312399
100% Corpus,5,0.01,0.31,0.3342451947077921
100% Corpus,5,0.01,0.61,0.3417933927529472
100% Corpus,5,0.01,0.9099999999999999,0.3390180620252355
100% Corpus,5,0.01,symmetric,0.33271372377977954
100% Corpus,5,0.31,0.01,0.339159354068578
100% Corpus,5,0.31,0.31,0.341853352400643
100% Corpus,5,0.31,0.61,0.33421528461996197
100% Corpus,5,0.31,0.9099999999999999,0.3255851549393529
100% Corpus,5,0.31,symmetric,0.34203696855698607
100% Corpus,5,0.61,0.01,0.344232949174729
100% Corpus,5,0.61,0.31,0.3393182492890655
100% Corpus,5,0.61,0.61,0.3439958385985532
100% Corpus,5,0.61,0.9099999999999999,0.33149087549303025
100% Corpus,5,0.61,symmetric,0.34188656686310404
100% Corpus,5,0.9099999999999999,0.01,0.339552155331221
100% Corpus,5,0.9099999999999999,0.31,0.34193985639651236
100% Corpus,5,0.9099999999999999,0.61,0.33929862221428586
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.33193956731395263
100% Corpus,5,0.9099999999999999,symmetric,0.3421210611471716
100% Corpus,5,symmetric,0.01,0.3336181499787185
100% Corpus,5,symmetric,0.31,0.3370894673740101
100% Corpus,5,symmetric,0.61,0.3398288246926259
100% Corpus,5,symmetric,0.9099999999999999,0.34775994912667896
100% Corpus,5,symmetric,symmetric,0.3339643234467333
100% Corpus,5,asymmetric,0.01,0.3304390864277299
100% Corpus,5,asymmetric,0.31,0.3334994926502454
100% Corpus,5,asymmetric,0.61,0.3352201824473776
100% Corpus,5,asymmetric,0.9099999999999999,0.3405121391959628
100% Corpus,5,asymmetric,symmetric,0.3365056233762808
100% Corpus,6,0.01,0.01,0.33271372377977954
100% Corpus,6,0.01,0.31,0.33294372593050053
